,region,year,month,mean_monthly_temperature_deviation
175,Амурская область,2014,8,3.65
176,Амурская область,2014,9,1.94
177,Амурская область,2014,10,-0.55
178,Амурская область,2014,11,2.46
179,Амурская область,2014,12,-0.29
180,Амурская область,2015,1,4.77
181,Амурская область,2015,2,6.02
182,Амурская область,2015,3,3.12
183,Амурская область,2015,4,-0.26
184,Амурская область,2015,5,-0.5
185,Амурская область,2015,6,1.04
186,Амурская область,2015,7,2.13
187,Амурская область,2015,8,4.09
188,Амурская область,2015,9,1.29
189,Амурская область,2015,10,1.61
190,Амурская область,2015,11,0.24
191,Амурская область,2015,12,3.11
192,Амурская область,2016,1,3.56
193,Амурская область,2016,2,0.54
194,Амурская область,2016,3,2.8
195,Амурская область,2016,4,1.28
196,Амурская область,2016,5,1.45
197,Амурская область,2016,6,-1.83
198,Амурская область,2016,7,0.24
199,Амурская область,2016,8,0.08
200,Амурская область,2016,9,1.88
201,Амурская область,2016,10,-3.43
202,Амурская область,2016,11,-3.03
203,Амурская область,2016,12,1.34
204,Амурская область,2017,1,5.23
205,Амурская область,2017,2,5.8
206,Амурская область,2017,3,4.88
207,Амурская область,2017,4,1.34
208,Амурская область,2017,5,1.25
209,Амурская область,2017,6,1.45
210,Амурская область,2017,7,1.66
211,Амурская область,2017,8,0.93
212,Амурская область,2017,9,0.63
213,Амурская область,2017,10,-0.59
214,Амурская область,2017,11,-0.59
215,Амурская область,2017,12,-0.03
216,Амурская область,2018,1,2.53
217,Амурская область,2018,2,0.1
218,Амурская область,2018,3,1.48
219,Амурская область,2018,4,2.93
220,Амурская область,2018,5,4.19
221,Амурская область,2018,6,-1.3
222,Амурская область,2018,7,0.24
223,Амурская область,2018,8,1.87
224,Амурская область,2018,9,1.21
225,Амурская область,2018,10,4.74
226,Амурская область,2018,11,2.22
227,Амурская область,2018,12,0.77
228,Амурская область,2019,1,5.66
229,Амурская область,2019,2,4.21
230,Амурская область,2019,3,3.36
231,Амурская область,2019,4,2.11
232,Амурская область,2019,5,0.33
233,Амурская область,2019,6,0.65
234,Амурская область,2019,7,-0.21
235,Амурская область,2019,8,1.02
236,Амурская область,2019,9,1.3
237,Амурская область,2019,10,1.61
238,Амурская область,2019,11,-0.87
239,Амурская область,2019,12,-1.33
240,Архангельская область,2010,1,-1.5
241,Архангельская область,2010,2,-1.83
242,Архангельская область,2010,3,-0.99
243,Архангельская область,2010,4,3.49
244,Архангельская область,2010,5,5.43
245,Архангельская область,2010,6,-0.43
246,Архангельская область,2010,7,4.31
247,Архангельская область,2010,8,2.17
248,Архангельская область,2010,9,1.06
249,Архангельская область,2010,10,1.54
250,Архангельская область,2010,11,-0.18
251,Архангельская область,2010,12,-5.54
252,Архангельская область,2011,1,1.2
253,Архангельская область,2011,2,-4.09
254,Архангельская область,2011,3,2.04
255,Архангельская область,2011,4,2.47
256,Архангельская область,2011,5,3.06
257,Архангельская область,2011,6,2.78
258,Архангельская область,2011,7,3.16
259,Архангельская область,2011,8,0.52
260,Архангельская область,2011,9,1.48
261,Архангельская область,2011,10,3.04
262,Архангельская область,2011,11,3.42
263,Архангельская область,2011,12,6.99
264,Архангельская область,2012,1,4.05
265,Архангельская область,2012,2,-0.16
266,Архангельская область,2012,3,0.25
267,Архангельская область,2012,4,2.24
268,Архангельская область,2012,5,3.18
269,Архангельская область,2012,6,0.48
270,Архангельская область,2012,7,0.48
271,Архангельская область,2012,8,0.32
272,Архангельская область,2012,9,1.7
273,Архангельская область,2012,10,2.57
274,Архангельская область,2012,11,2.93
275,Архангельская область,2012,12,-2.98
276,Архангельская область,2013,1,2.44
277,Архангельская область,2013,2,4.53
278,Архангельская область,2013,3,-5.73
279,Архангельская область,2013,4,1.94
280,Архангельская область,2013,5,2.83
281,Архангельская область,2013,6,3.35
282,Архангельская область,2013,7,1.03
283,Архангельская область,2013,8,2.71
284,Архангельская область,2013,9,1.28
285,Архангельская область,2013,10,0.9
286,Архангельская область,2013,11,4.77
287,Архангельская область,2013,12,3.76
288,Архангельская область,2014,1,1.31
289,Архангельская область,2014,2,4.61
290,Архангельская область,2014,3,3.06
291,Архангельская область,2014,4,0.72
292,Архангельская область,2014,5,2.3
293,Архангельская область,2014,6,-0.68
294,Архангельская область,2014,7,-0.48
295,Архангельская область,2014,8,2.73
296,Архангельская область,2014,9,1.76
297,Архангельская область,2014,10,-1.62
298,Архангельская область,2014,11,1.98
299,Архангельская область,2014,12,2.82
300,Архангельская область,2015,1,0.95
301,Архангельская область,2015,2,5.12
302,Архангельская область,2015,3,4.41
303,Архангельская область,2015,4,2.29
304,Архангельская область,2015,5,5.34
305,Архангельская область,2015,6,1.07
306,Архангельская область,2015,7,-3.29
307,Архангельская область,2015,8,-0.34
308,Архангельская область,2015,9,2.99
309,Архангельская область,2015,10,1.12
310,Архангельская область,2015,11,1.86
311,Архангельская область,2015,12,4.89
312,Архангельская область,2016,1,-1.02
313,Архангельская область,2016,2,7.57
314,Архангельская область,2016,3,3.01
315,Архангельская область,2016,4,4.22
316,Архангельская область,2016,5,5.09
317,Архангельская область,2016,6,0.93
318,Архангельская область,2016,7,3.13
319,Архангельская область,2016,8,2.97
320,Архангельская область,2016,9,1.29
321,Архангельская область,2016,10,1.98
322,Архангельская область,2016,11,-0.82
323,Архангельская область,2016,12,2.12
324,Архангельская область,2017,1,4.06
325,Архангельская область,2017,2,3.87
326,Архангельская область,2017,3,3.41
327,Архангельская область,2017,4,-0.51
328,Архангельская область,2017,5,-3.88
329,Архангельская область,2017,6,-2.49
330,Архангельская область,2017,7,1.28
331,Архангельская область,2017,8,1.73
332,Архангельская область,2017,9,0.15
333,Архангельская область,2017,10,1.1
334,Архангельская область,2017,11,2.91
335,Архангельская область,2017,12,4.95
336,Архангельская область,2018,1,6.76
337,Архангельская область,2018,2,0.81
338,Архангельская область,2018,3,-3.95
339,Архангельская область,2018,4,1.16
340,Архангельская область,2018,5,3.09
341,Архангельская область,2018,6,-0.42
342,Архангельская область,2018,7,2.22
343,Архангельская область,2018,8,2.46
344,Архангельская область,2018,9,2.98
345,Архангельская область,2018,10,2.72
346,Архангельская область,2018,11,3.23
347,Архангельская область,2018,12,2.27
348,Архангельская область,2019,1,1.77
349,Архангельская область,2019,2,4.01
350,Архангельская область,2019,3,1.73
351,Архангельская область,2019,4,2.36
352,Архангельская область,2019,5,2.34
353,Архангельская область,2019,6,0.59
354,Архангельская область,2019,7,-2.51
355,Архангельская область,2019,8,-1.56
356,Архангельская область,2019,9,1.42
357,Архангельская область,2019,10,0.82
358,Архангельская область,2019,11,1.35
359,Архангельская область,2019,12,5.3
360,Астраханская область,2010,1,-0.75
361,Астраханская область,2010,2,-0.61
362,Астраханская область,2010,3,1.41
363,Астраханская область,2010,4,-1.02
364,Астраханская область,2010,5,1.42
365,Астраханская область,2010,6,4.41
366,Астраханская область,2010,7,5.45
367,Астраханская область,2010,8,6.01
368,Астраханская область,2010,9,3.89
369,Астраханская область,2010,10,-0.19
370,Астраханская область,2010,11,5.6
371,Астраханская область,2010,12,4.9
372,Астраханская область,2011,1,1.87
373,Астраханская область,2011,2,-1.58
374,Астраханская область,2011,3,-0.44
375,Астраханская область,2011,4,-2.54
376,Астраханская область,2011,5,0.6
377,Астраханская область,2011,6,1.88
378,Астраханская область,2011,7,5.21
379,Астраханская область,2011,8,2.09
380,Астраханская область,2011,9,-0.04
381,Астраханская область,2011,10,0.5
382,Астраханская область,2011,11,-4.61
383,Астраханская область,2011,12,0.85
384,Астраханская область,2012,1,-0.39
385,Астраханская область,2012,2,-6.52
386,Астраханская область,2012,3,-2.3
387,Астраханская область,2012,4,6.52
388,Астраханская область,2012,5,4.73
389,Астраханская область,2012,6,3.28
390,Астраханская область,2012,7,1.55
391,Астраханская область,2012,8,3.34
392,Астраханская область,2012,9,1.09
393,Астраханская область,2012,10,5.47
394,Астраханская область,2012,11,2.17
395,Астраханская область,2012,12,-1.95
396,Астраханская область,2013,1,2.51
397,Астраханская область,2013,2,5.34
398,Астраханская область,2013,3,3.9
399,Астраханская область,2013,4,0.95
400,Астраханская область,2013,5,4.53
401,Астраханская область,2013,6,1.64
402,Астраханская область,2013,7,0.41
403,Астраханская область,2013,8,0.53
404,Астраханская область,2013,9,-2.09
405,Астраханская область,2013,10,-0.32
406,Астраханская область,2013,11,3.99
407,Астраханская область,2013,12,0.65
408,Астраханская область,2014,1,1.06
409,Астраханская область,2014,2,1.98
410,Астраханская область,2014,3,4.69
411,Астраханская область,2014,4,-0.54
412,Астраханская область,2014,5,5.11
413,Астраханская область,2014,6,1.43
414,Астраханская область,2014,7,1.46
415,Астраханская область,2014,8,4.9
416,Астраханская область,2014,9,-0.09
417,Астраханская область,2014,10,-0.49
418,Астраханская область,2014,11,-2.46
419,Астраханская область,2014,12,0.7
420,Астраханская область,2015,1,1.73
421,Астраханская область,2015,2,3.84
422,Астраханская область,2015,3,3.95
423,Астраханская область,2015,4,-0.27
424,Астраханская область,2015,5,0.76
425,Астраханская область,2015,6,5.07
426,Астраханская область,2015,7,1.66
427,Астраханская область,2015,8,1.77
428,Астраханская область,2015,9,4.18
429,Астраханская область,2015,10,-0.16
430,Астраханская область,2015,11,1.58
431,Астраханская область,2015,12,3.65
432,Астраханская область,2016,1,1.11
433,Астраханская область,2016,2,7.15
434,Астраханская область,2016,3,3.67
435,Астраханская область,2016,4,1.76
436,Астраханская область,2016,5,-0.0
437,Астраханская область,2016,6,0.67
438,Астраханская область,2016,7,1.46
439,Астраханская область,2016,8,5.6
440,Астраханская область,2016,9,-1.28
441,Астраханская область,2016,10,-1.29
442,Астраханская область,2016,11,-1.16
443,Астраханская область,2016,12,-2.21
444,Астраханская область,2017,1,1.76
445,Астраханская область,2017,2,2.12
446,Астраханская область,2017,3,4.67
447,Астраханская область,2017,4,0.12
448,Астраханская область,2017,5,-0.38
449,Астраханская область,2017,6,-1.02
450,Астраханская область,2017,7,2.45
451,Астраханская область,2017,8,4.26
452,Астраханская область,2017,9,2.97
453,Астраханская область,2017,10,0.6
454,Астраханская область,2017,11,0.91
455,Астраханская область,2017,12,1.46
456,Астраханская область,2018,1,0.11
457,Астраханская область,2018,2,1.88
458,Астраханская область,2018,3,-1.83
459,Астраханская область,2018,4,-0.19
460,Астраханская область,2018,5,4.08
461,Астраханская область,2018,6,1.81
462,Астраханская область,2018,7,2.98
463,Астраханская область,2018,8,1.38
464,Астраханская область,2018,9,2.3
465,Астраханская область,2018,10,3.99
466,Астраханская область,2018,11,-0.54
467,Астраханская область,2018,12,-0.52
468,Астраханская область,2019,1,2.47
469,Астраханская область,2019,2,3.32
470,Астраханская область,2019,3,4.24
471,Астраханская область,2019,4,0.46
472,Астраханская область,2019,5,2.5
473,Астраханская область,2019,6,4.91
474,Астраханская область,2019,7,0.02
475,Астраханская область,2019,8,0.91
476,Астраханская область,2019,9,-1.28
477,Астраханская область,2019,10,4.77
478,Астраханская область,2019,11,-0.22
479,Астраханская область,2019,12,2.68
480,Белгородская область,2010,1,-4.16
481,Белгородская область,2010,2,1.58
482,Белгородская область,2010,3,0.46
483,Белгородская область,2010,4,1.62
484,Белгородская область,2010,5,2.48
485,Белгородская область,2010,6,4.34
486,Белгородская область,2010,7,6.79
487,Белгородская область,2010,8,7.89
488,Белгородская область,2010,9,2.21
489,Белгородская область,2010,10,-1.52
490,Белгородская область,2010,11,6.73
491,Белгородская область,2010,12,1.78
492,Белгородская область,2011,1,-0.87
493,Белгородская область,2011,2,-3.81
494,Белгородская область,2011,3,-0.76
495,Белгородская область,2011,4,-0.56
496,Белгородская область,2011,5,2.37
497,Белгородская область,2011,6,1.95
498,Белгородская область,2011,7,3.37
499,Белгородская область,2011,8,1.36
500,Белгородская область,2011,9,1.95
501,Белгородская область,2011,10,0.45
502,Белгородская область,2011,11,-0.75
503,Белгородская область,2011,12,4.15
504,Белгородская область,2012,1,1.24
505,Белгородская область,2012,2,-4.43
506,Белгородская область,2012,3,-0.39
507,Белгородская область,2012,4,4.92
508,Белгородская область,2012,5,4.14
509,Белгородская область,2012,6,1.68
510,Белгородская область,2012,7,3.71
511,Белгородская область,2012,8,1.98
512,Белгородская область,2012,9,2.78
513,Белгородская область,2012,10,4.28
514,Белгородская область,2012,11,2.56
515,Белгородская область,2012,12,-2.04
516,Белгородская область,2013,1,2.05
517,Белгородская область,2013,2,3.72
518,Белгородская область,2013,3,-1.13
519,Белгородская область,2013,4,3.01
520,Белгородская область,2013,5,5.48
521,Белгородская область,2013,6,2.79
522,Белгородская область,2013,7,0.8
523,Белгородская область,2013,8,1.6
524,Белгородская область,2013,9,-2.77
525,Белгородская область,2013,10,0.29
526,Белгородская область,2013,11,4.4
527,Белгородская область,2013,12,1.38
528,Белгородская область,2014,1,-0.74
529,Белгородская область,2014,2,3.71
530,Белгородская область,2014,3,7.29
531,Белгородская область,2014,4,0.73
532,Белгородская область,2014,5,3.79
533,Белгородская область,2014,6,-0.83
534,Белгородская область,2014,7,3.13
535,Белгородская область,2014,8,3.8
536,Белгородская область,2014,9,1.96
537,Белгородская область,2014,10,1.46
538,Белгородская область,2014,11,-0.41
539,Белгородская область,2014,12,0.76
540,Белгородская область,2015,1,3.18
541,Белгородская область,2015,2,3.29
542,Белгородская область,2015,3,4.62
543,Белгородская область,2015,4,0.05
544,Белгородская область,2015,5,0.66
545,Белгородская область,2015,6,2.34
546,Белгородская область,2015,7,1.59
547,Белгородская область,2015,8,2.73
548,Белгородская область,2015,9,6.12
549,Белгородская область,2015,10,0.02
550,Белгородская область,2015,11,3.05
551,Белгородская область,2015,12,3.45
552,Белгородская область,2016,1,-0.31
553,Белгородская область,2016,2,6.54
554,Белгородская область,2016,3,4.01
555,Белгородская область,2016,4,3.17
556,Белгородская область,2016,5,-0.11
557,Белгородская область,2016,6,0.84
558,Белгородская область,2016,7,3.35
559,Белгородская область,2016,8,3.22
560,Белгородская область,2016,9,-0.56
561,Белгородская область,2016,10,-0.97
562,Белгородская область,2016,11,-0.9
563,Белгородская область,2016,12,-1.08
564,Белгородская область,2017,1,1.41
565,Белгородская область,2017,2,1.69
566,Белгородская область,2017,3,6.11
567,Белгородская область,2017,4,0.74
568,Белгородская область,2017,5,-0.91
569,Белгородская область,2017,6,-0.16
570,Белгородская область,2017,7,1.26
571,Белгородская область,2017,8,3.96
572,Белгородская область,2017,9,3.03
573,Белгородская область,2017,10,-0.12
574,Белгородская область,2017,11,0.3
575,Белгородская область,2017,12,5.66
576,Белгородская область,2018,1,2.68
577,Белгородская область,2018,2,-0.15
578,Белгородская область,2018,3,-3.6
579,Белгородская область,2018,4,2.44
580,Белгородская область,2018,5,3.25
581,Белгородская область,2018,6,1.68
582,Белгородская область,2018,7,1.89
583,Белгородская область,2018,8,3.68
584,Белгородская область,2018,9,4.68
585,Белгородская область,2018,10,4.48
586,Белгородская область,2018,11,-0.62
587,Белгородская область,2018,12,-0.61
588,Белгородская область,2019,1,1.4
589,Белгородская область,2019,2,3.88
590,Белгородская область,2019,3,3.83
591,Белгородская область,2019,4,2.4
592,Белгородская область,2019,5,1.78
593,Белгородская область,2019,6,4.42
594,Белгородская область,2019,7,0.43
595,Белгородская область,2019,8,1.55
596,Белгородская область,2019,9,2.97
597,Белгородская область,2019,10,4.55
598,Белгородская область,2019,11,2.83
599,Белгородская область,2019,12,4.41
600,Брянская область,2010,1,-4.9
601,Брянская область,2010,2,0.41
602,Брянская область,2010,3,0.88
603,Брянская область,2010,4,2.8
604,Брянская область,2010,5,3.27
605,Брянская область,2010,6,3.68
606,Брянская область,2010,7,7.3
607,Брянская область,2010,8,7.1
608,Брянская область,2010,9,1.31
609,Брянская область,2010,10,-0.97
610,Брянская область,2010,11,4.69
611,Брянская область,2010,12,-1.67
612,Брянская область,2011,1,1.15
613,Брянская область,2011,2,-3.01
614,Брянская область,2011,3,-0.05
615,Брянская область,2011,4,1.57
616,Брянская область,2011,5,1.15
617,Брянская область,2011,6,1.98
618,Брянская область,2011,7,3.62
619,Брянская область,2011,8,1.17
620,Брянская область,2011,9,1.19
621,Брянская область,2011,10,0.3
622,Брянская область,2011,11,0.57
623,Брянская область,2011,12,4.29
624,Брянская область,2012,1,1.56
625,Брянская область,2012,2,-4.5
626,Брянская область,2012,3,0.58
627,Брянская область,2012,4,2.62
628,Брянская область,2012,5,2.57
629,Брянская область,2012,6,-0.48
630,Брянская область,2012,7,3.46
631,Брянская область,2012,8,1.13
632,Брянская область,2012,9,2.43
633,Брянская область,2012,10,1.13
634,Брянская область,2012,11,2.49
635,Брянская область,2012,12,-2.61
636,Брянская область,2013,1,-0.54
637,Брянская область,2013,2,3.63
638,Брянская область,2013,3,-2.76
639,Брянская область,2013,4,1.54
640,Брянская область,2013,5,4.86
641,Брянская область,2013,6,3.34
642,Брянская область,2013,7,0.81
643,Брянская область,2013,8,1.37
644,Брянская область,2013,9,-1.99
645,Брянская область,2013,10,0.97
646,Брянская область,2013,11,4.37
647,Брянская область,2013,12,2.24
648,Брянская область,2014,1,-0.31
649,Брянская область,2014,2,4.32
650,Брянская область,2014,3,6.89
651,Брянская область,2014,4,2.44
652,Брянская область,2014,5,2.98
653,Брянская область,2014,6,-0.51
654,Брянская область,2014,7,4.41
655,Брянская область,2014,8,3.82
656,Брянская область,2014,9,2.19
657,Брянская область,2014,10,1.33
658,Брянская область,2014,11,0.15
659,Брянская область,2014,12,0.04
660,Брянская область,2015,1,4.38
661,Брянская область,2015,2,4.11
662,Брянская область,2015,3,5.39
663,Брянская область,2015,4,1.1
664,Брянская область,2015,5,0.68
665,Брянская область,2015,6,1.4
666,Брянская область,2015,7,1.42
667,Брянская область,2015,8,3.74
668,Брянская область,2015,9,3.86
669,Брянская область,2015,10,-0.48
670,Брянская область,2015,11,2.01
671,Брянская область,2015,12,4.41
672,Брянская область,2016,1,-0.91
673,Брянская область,2016,2,5.74
674,Брянская область,2016,3,2.71
675,Брянская область,2016,4,2.84
676,Брянская область,2016,5,1.4
677,Брянская область,2016,6,1.87
678,Брянская область,2016,7,3.19
679,Брянская область,2016,8,3.15
680,Брянская область,2016,9,0.84
681,Брянская область,2016,10,-1.55
682,Брянская область,2016,11,-1.89
683,Брянская область,2016,12,0.5
684,Брянская область,2017,1,1.32
685,Брянская область,2017,2,2.45
686,Брянская область,2017,3,5.92
687,Брянская область,2017,4,1.47
688,Брянская область,2017,5,-0.5
689,Брянская область,2017,6,-0.66
690,Брянская область,2017,7,0.37
691,Брянская область,2017,8,3.03
692,Брянская область,2017,9,2.17
693,Брянская область,2017,10,-0.5
694,Брянская область,2017,11,0.32
695,Брянская область,2017,12,3.74
696,Брянская область,2018,1,2.73
697,Брянская область,2018,2,-0.94
698,Брянская область,2018,3,-2.98
699,Брянская область,2018,4,3.59
700,Брянская область,2018,5,4.28
701,Брянская область,2018,6,1.39
702,Брянская область,2018,7,1.55
703,Брянская область,2018,8,3.89
704,Брянская область,2018,9,4.98
705,Брянская область,2018,10,3.33
706,Брянская область,2018,11,-0.9
707,Брянская область,2018,12,-0.37
708,Брянская область,2019,1,0.96
709,Брянская область,2019,2,4.39
710,Брянская область,2019,3,3.87
711,Брянская область,2019,4,3.75
712,Брянская область,2019,5,2.15
713,Брянская область,2019,6,5.24
714,Брянская область,2019,7,-0.35
715,Брянская область,2019,8,0.39
716,Брянская область,2019,9,1.71
717,Брянская область,2019,10,4.26
718,Брянская область,2019,11,2.6
719,Брянская область,2019,12,4.64
720,Волгоградская область,2010,1,-2.38
721,Волгоградская область,2010,2,-0.36
722,Волгоградская область,2010,3,1.02
723,Волгоградская область,2010,4,0.23
724,Волгоградская область,2010,5,2.1
725,Волгоградская область,2010,6,5.27
726,Волгоградская область,2010,7,6.8
727,Волгоградская область,2010,8,7.34
728,Волгоградская область,2010,9,3.91
729,Волгоградская область,2010,10,-0.58
730,Волгоградская область,2010,11,6.83
731,Волгоградская область,2010,12,4.6
732,Волгоградская область,2011,1,1.19
733,Волгоградская область,2011,2,-3.99
734,Волгоградская область,2011,3,-1.55
735,Волгоградская область,2011,4,-1.73
736,Волгоградская область,2011,5,1.74
737,Волгоградская область,2011,6,1.39
738,Волгоградская область,2011,7,5.55
739,Волгоградская область,2011,8,2.48
740,Волгоградская область,2011,9,0.23
741,Волгоградская область,2011,10,0.32
742,Волгоградская область,2011,11,-2.79
743,Волгоградская область,2011,12,2.4
744,Волгоградская область,2012,1,-0.42
745,Волгоградская область,2012,2,-6.28
746,Волгоградская область,2012,3,-2.2
747,Волгоградская область,2012,4,6.48
748,Волгоградская область,2012,5,4.6
749,Волгоградская область,2012,6,3.9
750,Волгоградская область,2012,7,2.9
751,Волгоградская область,2012,8,3.29
752,Волгоградская область,2012,9,2.1
753,Волгоградская область,2012,10,4.86
754,Волгоградская область,2012,11,2.51
755,Волгоградская область,2012,12,-1.11
756,Волгоградская область,2013,1,2.49
757,Волгоградская область,2013,2,3.83
758,Волгоградская область,2013,3,1.75
759,Волгоградская область,2013,4,1.65
760,Волгоградская область,2013,5,5.27
761,Волгоградская область,2013,6,1.69
762,Волгоградская область,2013,7,0.4
763,Волгоградская область,2013,8,1.89
764,Волгоградская область,2013,9,-2.69
765,Волгоградская область,2013,10,-0.18
766,Волгоградская область,2013,11,4.18
767,Волгоградская область,2013,12,1.26
768,Волгоградская область,2014,1,-0.24
769,Волгоградская область,2014,2,1.08
770,Волгоградская область,2014,3,4.43
771,Волгоградская область,2014,4,-0.29
772,Волгоградская область,2014,5,4.13
773,Волгоградская область,2014,6,-0.01
